DSCOVR velocity spike fixed. Switch to ACE after 2024  5 11 14 11 23 343

#COORDINATES
GSM

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz Rho T F107
#START
2024  5 10  8  0 20 823    0.81   -0.43   -1.44  -412.6   -10.4   -26.5     9.86   55716.0  233.5
2024  5 10  8  1 19 302    0.66   -0.17   -1.47  -412.7   -13.3   -27.5     9.63   56427.0  233.5
2024  5 10  8  2 17 781    0.70   -0.27   -1.61  -413.0   -13.5   -29.1     9.50   57307.0  233.5
2024  5 10  8  3 32 284    1.04   -0.81   -1.47  -411.1   -11.8   -31.2     9.35   57252.0  233.5
2024  5 10  8  4 34 586    1.20   -1.23   -0.89  -410.7    -8.8   -29.5     9.81   54898.0  233.5
2024  5 10  8  5 35 354    1.16   -1.47   -0.55  -410.7    -7.1   -28.5    10.05   52687.0  233.5
2024  5 10  8  6 36 891    1.34   -1.03   -0.83  -410.5    -7.3   -27.7    10.44   53346.0  233.5
2024  5 10  8  7 39 970    0.98    0.09   -1.67  -410.1    -1.0   -27.4    10.45   50105.0  233.5
2024  5 10  8  8 37 660    1.36   -0.89   -1.13  -410.3    -1.6   -28.1    10.42   51665.0  233.5
2024  5 10  8  9 39 200    1.35   -1.38   -0.30  -410.2     0.1   -28.9    10.39   51500.0  233.5
2024  5 10  8 10 44 601    1.60   -1.13   -0.47  -409.5     3.3   -24.5    10.61   45361.0  233.5
2024  5 10  8 11 36 122    1.37   -1.26   -0.07  -410.6     1.8   -22.6    11.14   48805.0  233.5
2024  5 10  8 12 24 634    1.07   -1.35    0.18  -412.1    -0.9   -20.1    11.37   47287.0  233.5
2024  5 10  8 13 26 925    1.03   -1.58   -0.16  -411.7    -1.9   -21.0    11.27   46092.0  233.5
2024  5 10  8 14 29 985    1.04   -1.50   -0.10  -411.3    -0.7   -19.4    11.32   47325.0  233.5
2024  5 10  8 15 33  51    1.19   -1.35   -0.23  -411.0    -0.5   -19.1    11.22   47127.0  233.5
2024  5 10  8 16 29 220    0.93   -1.39   -0.38  -411.5    -0.9   -19.8    11.48   47544.0  233.5
2024  5 10  8 17 33 818    1.13   -1.14   -0.29  -410.8     0.5   -19.3    11.42   47241.0  233.5
2024  5 10  8 18 29 985    1.22   -1.04   -0.18  -411.3     0.0   -18.5    11.42   47422.0  233.5
2024  5 10  8 19 29 985    1.38   -0.79    0.07  -411.3     0.7   -17.9    11.34   48368.0  233.5
2024  5 10  8 20 26 925    1.44   -0.82    0.11  -411.7     0.6   -18.3    11.14   48651.0  233.5
2024  5 10  8 21 32 284    1.46   -0.84    0.08  -411.1     1.2   -17.8    10.94   44650.0  233.5
2024  5 10  8 22 29 220    1.48   -0.95    0.19  -411.5     0.2   -16.9    11.30   48937.0  233.5
2024  5 10  8 23 46 920    1.74   -0.78    0.56  -409.2     6.3   -18.4    10.77   46284.0  233.5
2024  5 10  8 24 46 147    1.73   -0.81    0.63  -409.2     5.8   -20.3    10.85   48275.0  233.5
2024  5 10  8 25 46 147    1.78   -0.67    0.86  -409.2     9.5   -18.3    10.79   47748.0  233.5
2024  5 10  8 26 53 124    1.66   -0.33    0.88  -408.3     6.4   -20.0    10.63   47432.0  233.5
2024  5 10  8 27 40 741    1.19   -1.39    0.13  -410.0     2.9   -18.3    11.26   46621.0  233.5
2024  5 10  8 28 56 235    1.88   -0.72    0.45  -408.0     7.2   -19.7    10.45   48681.0  233.5
2024  5 10  8 29 54 678    1.82   -0.90    0.43  -408.2    11.2   -18.3    10.51   47036.0  233.5
2024  5 10  8 31  0 132    1.78   -0.96    0.45  -407.5    14.3   -16.5    10.30   46979.0  233.5
2024  5 10  8 32  7 955    2.29   -0.90    0.56  -406.5    11.8   -16.9     9.79   48000.0  233.5
2024  5 10  8 33  7 171    2.46   -1.07    0.55  -406.6    10.3   -17.7     9.58   47747.0  233.5
2024  5 10  8 34 11  95    2.41   -0.68    0.57  -406.1    11.6   -15.5     9.92   47100.0  233.5
2024  5 10  8 35 17 394    2.13   -0.79    0.38  -405.2    10.7   -11.4     9.96   47854.0  233.5
2024  5 10  8 36 10 309    2.24   -0.91    0.32  -406.2    12.5   -16.0     9.71   46403.0  233.5
2024  5 10  8 37 16 605    2.37   -1.17    0.36  -405.3    10.4   -13.6     9.56   45219.0  233.5
